Probennummer	Von	Bis	delta_D	delta_D_stDev	delta_18O	delta_18O_stDev	delta_17O	delta_17O_stDev	gemessen am	Messgerät
175	17.11.2016	22.11.2016	-30,315	0,333	-5,293	0,205	-2,953	0,22	06.03.2017	LGR
176	22.11.2016	12.12.2016	-30,843	0,351	-5,194	0,185	-2,876	0,213	06.03.2017	LGR
177	12.12.2016	18.12.2016	-43,292	0,055	-6,084	0,12	-3,804	0,314	06.03.2017	LGR
178	18.12.2016	23.12.2016	-95,713	0,137	-12,332	0,172	-7,146	0,444	06.03.2017	LGR
179	23.12.2016	28.12.2016	-35,155	0,023	-5,222	0,102	-3,419	0,36	06.03.2017	LGR
180	28.12.2016	03.01.2017	-62,243	0,06	-8,788	0,146	-5,404	0,406	06.03.2017	LGR
181	03.01.2017	10.01.2017	-76,151	0,225	-9,72	0,117	-6,161	0,572	06.03.2017	LGR
182	10.01.2017	17.01.2017	-66,28	0,039	-9,499	0,129	-6,092	0,599	06.03.2017	LGR
183	17.01.2017	31.01.2017	-62,859	0,089	-8,261	0,133	-5,4	0,58	06.03.2017	LGR
184	31.01.2017	08.02.2017	-103,467	0,192	-13,221	0,323	-8,116	0,731	06.03.2017	LGR
185	08.02.2017	17.02.2017	-39,172	0,194	-5,883	0,162	-4,079	0,519	06.03.2017	LGR
186	17.02.2017	21.02.2017	-36,685	0,095	-5,715	0,196	-3,968	0,546	06.03.2017	LGR
187	21.02.2017	28.02.2017	-65,16	0,062	-8,943	0,293	-5,72	0,57	06.03.2017	LGR
188	28.02.2017	02.03.2017	-55,32	0,039	-7,922	0,334	-5,014	0,593	06.03.2017	LGR
189	02.03.2017	09.03.2017	-47,747	0,075	-7,096	0,055	-3,60	0,018	08.05.2017	LGR
190	09.03.2017	20.03.2017	-75,93	0,078	-10,188	0,001	-5,432	0,011	04.05.2017	LGR
191	20.03.2017	23.03.2017	-60,139	0,146	-8,192	0,051	-4,35	0,13	10.05.2017	LGR
192	23.03.2017	03.04.2017	-34,079	0,134	-4,984	0,03	-2,768	0,001	04.05.2017	LGR
193	03.04.2017	15.04.2017	-34,495	0,038	-5,447	0,023	-3,047	0,032	04.05.2017	LGR
194	15.04.2017	19.04.2017	-46,013	0,098	-7,088	0,018	-3,904	0,126	04.05.2017	LGR
195	19.04.2017	02.05.2017	-73,415	0,127	-10,215	0,031	-5,516	0,143	04.05.2017	LGR
196	02.05.2017	08.05.2017	-43,421	0,172	-6,887	0,092	-3,626	0,024	08.05.2017	LGR
197	08.05.2017	12.05.2017	-43,641	0,108	-5,614	0,024	-2,969	0,025	22/11/2017	LGR
198	12.05.2017	15.05.2017	-68,532	0,032	-9,204	0,024	-4,952	0,031	22/11/2017	LGR
199	15.05.2017	21.05.2017	-64,247	0,125	-9,155	0,008	-4,875	0,001	22/11/2017	LGR
200	21.05.2017	31.05.2017	-18,941	0,054	-2,334	0,003	-1,359	0,045	22/11/2017	LGR
201	31.05.2017	04.06.2017	-35,263	0,02	-5,789	0,039	-3,065	0,011	22/11/2017	LGR
202	04.06.2017	11.06.2017	-60,591	0,027	-8,683	0,019	-4,639	0	22/11/2017	LGR
203	11.06.2017	28.06.2017	-34,528	0,083	-5,305	0,016	-2,876	0,01	22/11/2017	LGR
204	28.06.2017	29.06.2017	-51,357	0,115	-7,746	0,042	-4,1	0,009	22/11/2017	LGR
205	29.06.2017	03.07.2017	-56,718	0,101	-7,703	0,032	-4,041	0,037	22/11/2017	LGR
206	03.07.2017	12.07.2017	-33,629	0,11	-5,257	0,017	-2,765	0,028	22/11/2017	LGR
207	12.07.2017	22.07.2017	-29,727	0,094	-4,192	0,013	-2,206	0,023	22/11/2017	LGR
208	22.07.2017	24.07.2017	-13,702	0,039	-2,33	0,003	-1,274	0,035	22/11/2017	LGR
209	24.07.2017	26.07.2017	-68,016	0,154	-9,656	0,038	-5,113	0,055	22/11/2017	LGR
210	26.07.2017	28.07.2017	-18,72	0,174	-3,505	0,036	-1,813	0,082	22/11/2017	LGR
211	28.07.2017	03.08.2017	-10,431	0,009	-2,068	0,039	-1,078	0,08	22/11/2017	LGR
212	03.08.2017	08.08.2017	-12,752	0,1	-1,955	0,015	-1,095	0,014	22/11/2017	LGR
213	08.08.2017	11.08.2017	-23,136	0,011	-4,82	0,006	-2,72	0,03	23/11/2017	LGR
214	11.08.2017	12.08.2017	-51,474	0,051	-7,923	0,048	-4,249	0,039	23/11/2017	LGR
215	12.08.2017	14.08.2017	-9,492	0,119	-2,585	0,043	-1,321	0,043	23/11/2017	LGR
216	14.08.2017	19.08.2017	-52,168	0,076	-7,081	0,062	-3,68	0,054	23/11/2017	LGR
217	19.08.2017	05.09.2017	-21,176	0,024	-3,855	0,037	-1,954	0,059	23/11/2017	LGR
218	05.09.2017	12.09.2017	-28,882	0,101	-5,254	0,013	-2,807	0	23/11/2017	LGR
219	12.09.2017	15.09.2017	-37,313	0,04	-5,751	0,013	-3,024	0,047	23/11/2017	LGR
220	15.09.2017	01.10.2017	-57,565	0,047	-8,183	0,024	-4,314	0,061	23/11/2017	LGR
221	01.10.2017	03.10.2017	-42,576	0,062	-6,299	0,013	-3,425	0,06	23/11/2017	LGR
222	03.10.2017	06.10.2017	-12,102	0,037	-2,746	0,007	-1,595	0,035	23/11/2017	LGR
223	06.10.2017	09.10.2017	-41,221	0,059	-6,537	0,035	-3,582	0,032	23/11/2017	LGR
224	09.10.2017	23.10.2017	-24,485	0,089	-4,49	0,014	-2,484	0,069	23/11/2017	LGR
225	23.10.2017	25.10.2017	-15,529	0,023	-3,911	0,024	-1,902	0,269	23/11/2017	LGR
226	25.10.2017	27.10.2017	-28,107	0,045	-5,256	0,033	-2,701	0,177	23/11/2017	LGR
227	27.10.2017	31.10.2017	-18,151	0,024	-3,835	0,046	-2,005	0,116	23/11/2017	LGR
228	31.10.2017	06.11.2017	-68,473	0,044	-9,832	0,018	-5,167	0,089	23/11/2017	LGR
229	06.11.2017	10.11.2017	-48,363	0,013	-7,983	0,002	-4,332	0,046	23/11/2017	LGR
230	10.11.2017	13.11.2017	-95,625	0,015	-12,951	0,026	-6,905	0,031	23/11/2017	LGR
231	13.11.2017	14.11.2017	-47,527	0,113	-8,084	0,058	-4,353	0	23/11/2017	LGR
232	14.11.2017	20.11.2017	-44,705	0,07	-7,572	0,02	-4,024	0,191	11.12.2017	LGR
233	20.11.2017	22.11.2017	-31,305	0,287	-5,722	0,044	-3,188	0,002	11.12.2017	LGR
234	22.11.2017	27.11.2017	-109,066	0,02	-14,648	0,061	-7,992	0,194	11.12.2017	LGR
235	27.11.2017	01.12.2017	-86,088	0,226	-12,655	0,058	-6,829	0,127	11.12.2017	LGR
236	01.12.2017	05.12.2017	-96,613	0,234	-12,169	0,099	-6,393	0,016	11.12.2017	LGR
237	05.12.2017	08.12.2017	-68,073	0,216	-9,479	0,142	-4,939	0,05	11.12.2017	LGR
238	14.04.2018	16.04.2018	-96,842	0,636	-12,611	0,259	-6,789	0,009	03.05.2018	LGR
239	27.04.2018	30.04.2018	-21,517	0,109	-3,387	0,131	-1,872	0,042	03.05.2018	LGR
