0	0.00	0
1	1.00	0
2	2.00	0
3	3.00	0
4	4.00	0
5	5.00	0
6	6.00	0
7	7.00	0
8	8.00	0
9	9.00	0
10	10.00	0
11	11.00	0
12	12.00	0
13	13.00	0
14	14.00	0
15	15.00	0
16	16.00	0
17	17.00	0
18	18.00	0
19	19.00	0
20	20.00	0
21	21.00	0
22	22.00	0
23	23.00	0
24	24.00	0
25	25.00	0
26	26.00	0
27	27.00	0
28	28.00	0
29	29.00	0
30	30.00	0
31	31.00	0
32	32.00	0
33	33.00	0
34	34.00	0
35	35.00	0
36	36.00	0
37	37.00	0
38	38.00	0
39	39.00	0
40	40.00	0
41	41.00	0
42	42.00	1
43	43.00	0
44	44.00	0
45	45.00	0
46	46.00	0
47	47.00	0
48	48.00	0
49	49.00	0
50	50.00	0
51	51.00	0
52	52.00	0
53	53.00	0
54	54.00	0
55	55.00	0
56	56.00	0
57	57.00	0
58	58.00	0
59	59.00	0
60	60.00	0
61	61.00	0
62	62.00	0
63	63.00	0
64	64.00	0
65	65.00	0
66	66.00	0
67	67.00	0
68	68.00	0
69	69.00	0
70	70.00	0
71	71.00	0
72	72.00	0
73	73.00	0
74	74.00	0
75	75.00	0
76	76.00	0
77	77.00	0
78	78.00	0
79	79.00	0
80	80.00	0
81	81.00	0
82	82.00	0
83	83.00	0
84	84.00	0
85	85.00	0
86	86.00	0
87	87.00	0
88	88.00	0
89	89.00	0
90	90.00	0
91	91.00	0
92	92.00	0
93	93.00	1
94	94.00	0
95	95.00	0
96	96.00	0
97	97.00	0
98	98.00	0
99	99.00	1
100	100.00	6
101	101.00	8
102	102.00	31
103	103.00	40
104	104.00	71
105	105.00	92
106	106.00	94
107	107.00	112
108	108.00	112
109	109.00	121
110	110.00	153
111	111.00	126
112	112.00	113
113	113.00	149
114	114.00	142
115	115.00	139
116	116.00	141
117	117.00	109
118	118.00	133
119	119.00	106
120	120.00	105
121	121.00	131
122	122.00	121
123	123.00	124
124	124.00	122
125	125.00	106
126	126.00	82
127	127.00	136
128	128.00	135
129	129.00	112
130	130.00	131
131	131.00	112
132	132.00	114
133	133.00	144
134	134.00	145
135	135.00	127
136	136.00	95
137	137.00	116
138	138.00	140
139	139.00	145
140	140.00	107
141	141.00	105
142	142.00	131
143	143.00	132
144	144.00	118
145	145.00	123
146	146.00	142
147	147.00	174
148	148.00	106
149	149.00	136
150	150.00	116
151	151.00	133
152	152.00	100
153	153.00	112
154	154.00	118
155	155.00	111
156	156.00	113
157	157.00	126
158	158.00	126
159	159.00	120
160	160.00	139
161	161.00	156
162	162.00	144
163	163.00	104
164	164.00	112
165	165.00	106
166	166.00	112
167	167.00	110
168	168.00	119
169	169.00	108
170	170.00	122
171	171.00	108
172	172.00	119
173	173.00	124
174	174.00	108
175	175.00	121
176	176.00	105
177	177.00	108
178	178.00	92
179	179.00	116
180	180.00	91
181	181.00	117
182	182.00	110
183	183.00	109
184	184.00	108
185	185.00	125
186	186.00	133
187	187.00	113
188	188.00	134
189	189.00	116
190	190.00	103
191	191.00	134
192	192.00	128
193	193.00	129
194	194.00	132
195	195.00	118
196	196.00	116
197	197.00	135
198	198.00	91
199	199.00	107
200	200.00	107
201	201.00	123
202	202.00	97
203	203.00	119
204	204.00	110
205	205.00	110
206	206.00	135
207	207.00	126
208	208.00	113
209	209.00	136
210	210.00	109
211	211.00	133
212	212.00	102
213	213.00	91
214	214.00	116
215	215.00	118
216	216.00	98
217	217.00	94
218	218.00	119
219	219.00	130
220	220.00	129
221	221.00	100
222	222.00	79
223	223.00	128
224	224.00	108
225	225.00	124
226	226.00	123
227	227.00	112
228	228.00	91
229	229.00	110
230	230.00	106
231	231.00	122
232	232.00	117
233	233.00	113
234	234.00	107
235	235.00	84
236	236.00	88
237	237.00	100
238	238.00	119
239	239.00	116
240	240.00	97
241	241.00	124
242	242.00	112
243	243.00	107
244	244.00	90
245	245.00	117
246	246.00	109
247	247.00	97
248	248.00	117
249	249.00	108
250	250.00	109
251	251.00	105
252	252.00	118
253	253.00	127
254	254.00	109
255	255.00	112
256	256.00	112
257	257.00	95
258	258.00	120
259	259.00	106
260	260.00	89
261	261.00	120
262	262.00	108
263	263.00	128
264	264.00	98
265	265.00	91
266	266.00	111
267	267.00	105
268	268.00	91
269	269.00	102
270	270.00	114
271	271.00	103
272	272.00	89
273	273.00	119
274	274.00	106
275	275.00	119
276	276.00	112
277	277.00	113
278	278.00	103
279	279.00	102
280	280.00	110
281	281.00	95
282	282.00	109
283	283.00	107
284	284.00	91
285	285.00	111
286	286.00	99
287	287.00	89
288	288.00	116
289	289.00	89
290	290.00	91
291	291.00	83
292	292.00	105
293	293.00	103
294	294.00	99
295	295.00	91
296	296.00	95
297	297.00	89
298	298.00	104
299	299.00	83
300	300.00	93
301	301.00	99
302	302.00	118
303	303.00	100
304	304.00	71
305	305.00	99
306	306.00	102
307	307.00	94
308	308.00	88
309	309.00	84
310	310.00	88
311	311.00	70
312	312.00	87
313	313.00	88
314	314.00	73
315	315.00	93
316	316.00	92
317	317.00	86
318	318.00	95
319	319.00	93
320	320.00	75
321	321.00	77
322	322.00	106
323	323.00	85
324	324.00	84
325	325.00	86
326	326.00	86
327	327.00	72
328	328.00	91
329	329.00	84
330	330.00	79
331	331.00	105
332	332.00	84
333	333.00	106
334	334.00	88
335	335.00	82
336	336.00	73
337	337.00	89
338	338.00	85
339	339.00	88
340	340.00	65
341	341.00	75
342	342.00	78
343	343.00	64
344	344.00	82
345	345.00	75
346	346.00	80
347	347.00	68
348	348.00	81
349	349.00	76
